Aachen Bischöfliches Diözesanarchiv
Aachen Bischöfliches Domarchiv und Domschatzkammer
Aachen Peter Ludwig Collection
Aachen Stadtarchiv
Aachen Öffentliche Bibliothek der Stadt Aachen (Stadtbibliothek)
Aarau Aargauische Kantonsbibliothek
Abbeville Bibliothèque Municipale
Aberdeen University Library
Aberystwyth National Library of Wales
Acqui Terme (Alessandria) Archivio Vescovile
Admont Bibliothek des Benediktinerstifts
Agen Bibliothèque Municipale
Agira (Enna) Biblioteca Comunale «Pietro Mineo»
Aix-en-Provence Cité du Livre - Bibliothèque Méjanes
Albi Médiathèque Pierre Amalric (olim Bibliothèque Municipale)
Alençon Médiathèque de la Communauté Urbaine (olim Bibliothèque Municipale)
Allegationes factae in consilio Bassilensi super conquesta insularum Canarie contra Portugalenses anno Domini
Altamura (Bari) Archivio Biblioteca Museo Civico
Altenburg (Niederösterreich) Stiftsbibliothek
Amiens Bibliothèque Centrale Louis Aragon (olim Bibliothèque Municipale)
Amiens Bibliothèque de la Société des Antiquaires de Picardie
Amorbach Fürstlich Leiningensches Archiv
Amsterdam Bibliotheca Philosophica Hermetica
Amsterdam Bibliotheek der Universiteit
Anagni (Frosinone) Archivio di Stato di Anagni-Guarcino
Andorra Arxiu Històric Nacional d'Andorra
Angers Archives Départementales du Maine-et-Loire
Angers Bibliothèque Municipale
Annaberg-Buchholz Kirchenbibliothek St. Anna
Annales historiae illustrium principum Hanoniae ab initio rerum usque ad annum Christi
Ansbach Staatliche Bibliothek (Schlossbibliothek)
Antwerpen/Anvers Erfgoedbibliotheek Hendrik Conscience (olim Stadsbibliotheek)
Antwerpen/Anvers Musaeum Plantin-Moretus
Aosta Biblioteca Capitolare
Aosta Biblioteca del Seminario Maggiore
Aosta Biblioteca della Collegiata di Sant'Orso
Appellatio contra constitutionem «Ad conditorem canonum»
Apt Trésor de l'Eglise Sainte-Anne
Arezzo Archivio di Stato
Arezzo Biblioteca Città di Arezzo
Arezzo Biblioteca Diocesana del Seminario Vescovile
Arles Médiathèque (olim Bibliothèque Municipale)
Arlon Institut Archéologique du Luxembourg
Armagh Public Library of Armagh
Arnhem Stichting Arnhemse Openbare en Gelderse Wetenschappelijke Bibliotheek
Arona (Novara) Archivio della Curia
Arras Archives du Pas-de-Calais
Arras Bibliothèque Municipale. Médiathèque
Arsen'yev Gorodskaya biblioteka
Aschaffenburg Hofbibliothek
Aschaffenburg Stiftsbibliothek
Ascoli Piceno Archivio di Stato
Ascoli Piceno Biblioteca Comunale Giulio Gabrielli
Assisi (Perugia) Archivio Capitolare
Assisi (Perugia) Biblioteca Comunale
Assisi (Perugia) Biblioteca Storico-Francescana della Chiesa Nuova
Assisi (Perugia) Sacro Convento di San Francesco
Asti Biblioteca del Seminario Vescovile
Athína Ethnike Bibliotheke tes Ellados
Athína Gennádeios Bibliothéke
Atri (Teramo) Museo e Biblioteca Capitolare
Aubel Bibliothèque du Val-Dieu
Auch Bibliothèque Municipale
Auckland Auckland (Free) Public Library
Auckland AucklandPublic Library
Augsburg Bistumsarchiv
Augsburg Staats- und Stadtbibliothek
Augsburg Staatsarchiv
Augsburg Universitätsbibliothek
Aurich Niedersächsisches Staatsarchiv
Aurillac Archives Départementales du Cantal
Autun Bibliothèque Municipale
Auxerre Bibliothèque Jacques Lacarrière (olim Bibliothèque Municipale)
Auxerre Bibliothèque de la Cathédrale
Avellino Biblioteca Provinciale «Scipione e Giulio Capone»
Averbode Norbertijner Abdij Archief
Averbode Norbertijner Abdij Bibliotheek
Avignon Archives Départementales de Vaucluse
Avignon Bibliothèque Municipale (olim Musée Calvet)
Avignon Bibliothèque Municipale Ceccano (olim Musée Calvet)
Avranches Bibliothèque Patrimoniale (olim Bibliothèque Municipale)
Bad Homburg Stadtarchiv
Bad Wildungen Rudolf Lorenz Stiftung
Bad Windsheim Stadtbibliothek (Ratsbibliothek)
Bamberg Staatsbibliothek
Bar-le-Duc Archives Départementales de la Meuse
Barcelona Arxiu Capitular de la Catedral (Biblioteca del Cabildo)
Barcelona Arxiu Diocesà de Barcelona
Barcelona Arxiu Històric de Protocols
Barcelona Arxiu Històric de la Ciutat
Barcelona Arxiu de la Corona d'Aragó
Barcelona Biblioteca de Catalunya (olim Biblioteca Central de la Diputación Provincial de Barcelona)
Barcelona Biblioteca de la Universitat
Bari Archivio del Capitolo Metropolitano
Bari Biblioteca Nazionale «Sagarriga Visconti Volpi»
Barth Kirchenbibliothek St. Marien
Basel/Bâle Staatsarchiv Basel-Stadt
Basel/Bâle Universitätsbibliothek (olim Öffentliche Bibliothek der Universität)
Bassano del Grappa (Vicenza) Biblioteca Civica
Bautzen Stadtbibliothek
Bayeux Bibliothèque du Chapitre
Bayeux Médiathèque Municipale (olim Bibliothèque Municipale)
Bazzano (Bologna) Archivio Storico Comunale Copertine di codici latini
Beaune Bibliothèque Municipale
Beauvais Médiathèque de Beauvais et Réseau des Médiathèques du Beauvaisis (olim Bibliothèque Municipale)
Belluno Biblioteca Civica
Belluno Biblioteca Lolliniana Gregoriana (Seminario Gregoriano)
Benevento Archivio di Stato
Benevento Biblioteca Capitolare
Beograd Narodna Biblioteka Srbije
Bergamo Archivio Capitolare
Bergamo Archivio del Monastero di Santa Grata Legendario
Bergamo Biblioteca Capitolare (in deposito presso l'Archivio della Curia Vescovile)
Bergamo Biblioteca Civica «Angelo Mai»
Bergamo Biblioteca del Seminario vescovile
